INFO,2021-05-06T20:04:41.791004300Z,0.9582129999999998,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:41.807957100Z,0.9721489999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:41.828904600Z,0.9930069999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.128161200Z,1.0127149999999991,(Feeder),Feeder state: NEUTRAL
INFO,2021-05-06T20:04:43.128161200Z,1.0127149999999991,(ShootCommand),Started shoot command
INFO,2021-05-06T20:04:43.148109500Z,1.0336969999999992,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.169052200Z,1.0543419999999992,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.188004700Z,1.0752689999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.207948300Z,1.0961429999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.228893Z,1.1171539999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.247840800Z,1.1308619999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.268803Z,1.151686999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.287737100Z,1.1727359999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.307499700Z,1.193306999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.328434900Z,1.2141269999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.349375800Z,1.2351209999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.368322300Z,1.2560449999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.387273700Z,1.2699539999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.408794100Z,1.2980519999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.427769800Z,1.3117129999999992,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.447688600Z,1.3326019999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.467635300Z,1.353108999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.487582100Z,1.3740229999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.507528600Z,1.3947949999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.528472100Z,1.4155739999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.549420700Z,1.4364169999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.567371900Z,1.4502749999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.588315700Z,1.4713209999999997,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.607265Z,1.4920339999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.627208Z,1.5127339999999991,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.648152500Z,1.5336039999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.669099300Z,1.5544499999999992,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.689043500Z,1.5753179999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.707587200Z,1.5961329999999991,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.727537100Z,1.6099689999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.748481900Z,1.6379329999999985,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.768424500Z,1.6518509999999988,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.787379600Z,1.6725009999999987,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.807930200Z,1.693313999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.828876900Z,1.7142929999999996,(ShootCommand),Preparing to shoot
